gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
85646	12.701754385964913	7.330396475770925	6.918149466192171	3.8660287081339715	7.992509363295881	1.3990825688073394	4.431818181818182	1.9748427672955975	2.0443548387096775	0.0	0.0	0.5566037735849056	1.3057851239669422	0.0	0.0	0.0	9.265454545454546	11.106164383561644	0.0	28.923636363636362	6.676348547717843	29.151006711409394	29.31578947368421	0.0	0.0
85647	2.569620253164557	0.5538461538461539	0.0	1.0686274509803921	0.9313725490196079	0.28431372549019607	1.6627906976744187	0.7941176470588235	1.8431372549019607	0.0	0.0	0.0	0.0	0.6176470588235294	0.0	0.0	4.264705882352941	0.8627450980392157	0.0	5.627450980392157	0.8536585365853658	7.205882352941177	1.139240506329114	0.0	0.0
85648	0.0	0.0	1.0651769087523277	1.0253807106598984	0.0	0.0	0.0	3.28719723183391	7.513684210526316	0.0	1.522851919561243	1.843010752688172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.85261194029851	0.0	14.616504854368932	19.416856492027335	0.0	0.0
85649	0.0	0.0	0.0	0.7794117647058824	0.9019607843137255	0.0	0.0	2.7254901960784315	6.891891891891892	0.0	1.5441176470588236	3.4019607843137254	0.7696078431372549	0.0	0.0	0.0	0.0	0.0	0.0	8.934010152284264	0.0	2.074074074074074	22.875862068965517	0.0	0.0
85650	0.48293963254593175	0.4435695538057743	1.3071428571428572	5.195804195804196	0.3805774278215223	0.0	0.0	4.050541516245487	9.140221402214022	0.0	1.540084388185654	8.557432432432432	1.6072874493927125	0.0	0.0	0.0	0.4068241469816273	0.0	0.0	20.346570397111915	1.1486880466472302	15.617021276595745	69.45406824146981	0.0	0.0
85651	0.0	0.0	0.9024163568773235	0.83271719038817	0.0	0.0	0.0	2.4698055271238486	5.555555555555555	0.0	1.490316004077472	2.813978494623656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.317425083240844	0.0	6.505723204994797	13.276255707762557	0.0	0.0
85652	0.0	0.0	0.8955453149001537	0.8786764705882353	0.0	0.0	0.0	3.7464028776978417	6.87037037037037	0.0	1.4531490015360984	0.6932668329177057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.48	0.5560675883256528	5.890526315789474	18.141924959216965	0.0	0.0
85653	0.0	0.0	1.237017310252996	0.9408060453400504	0.535059331175836	0.0	0.0	6.893271461716937	19.736156351791532	0.0	2.211267605633803	4.257301808066759	0.7572815533980582	0.0	0.0	0.0	0.0	0.0	0.0	28.960806270996642	0.6084142394822006	9.135818908122504	23.8654503990878	0.0	0.0
85654	0.0	0.0	0.34050179211469533	0.8491879350348028	0.0	0.0	0.0	1.6222222222222222	4.011494252873563	0.0	1.017921146953405	1.0093283582089552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.504	0.7580645161290323	3.8329177057356607	3.0	0.0	0.0
85655	0.0	0.0	0.0	2.6653386454183265	0.0	0.0	0.0	0.0	2.046728971962617	0.0	0.8565891472868217	2.0337552742616034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.514767932489452	0.0	10.078189300411523	10.486187845303867	0.0	0.0
85656	0.0	0.0	0.7330508474576272	1.067431850789096	0.0	0.0	0.0	4.375968992248062	4.604417670682731	0.0	1.3954802259887005	2.4825688073394496	0.4449152542372881	0.0	0.0	0.0	0.0	0.0	0.0	14.340264650283554	0.0	4.294117647058823	19.626950354609928	0.0	0.0
85657	0.0	0.0	1.6835443037974684	1.2312811980033278	0.0	0.0	0.0	3.1361702127659576	12.745504840940525	0.0	2.4710743801652892	4.539106145251397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.879518072289155	1.6340057636887608	14.571666666666667	31.638392857142858	0.0	0.0
