bins	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
AG_349_G23	0.5095573797942299	0.24651994669634025	1.9819584223757565	2.553036852081362	0.538813472308846	0.13337327891288941	0.13415285271571298	3.5288875989710733	13.186528419164848	0.057424849701325165	2.3249612519742278	4.239677922175235	1.177169818325693	0.07942222065580558	0.04541578602183904	0.018718380404141477	0.21017177867870085	0.1640081813377315	0.708172858409915	36.478018560557864	1.9718258646683742	28.496235209939062	36.68975152743834	0.06587243660937923	0.09135992856504346
AG_404_D14	1.2356682852023992	0.5430373146394907	4.937204598256191	6.472136900697489	1.365864638951539	0.27105979131340063	0.22716953091171807	5.6377025939611425	21.561215113730892	0.03957495605670361	3.7260067925466736	6.662598172169602	2.3413119975010703	0.12511178397011677	0.08338984423086905	0.002292398718620775	0.43708800190504904	0.3672769995783395	1.5545625931507225	65.02570279114553	3.857342023561519	55.402866186730584	77.9551061372969	0.013301900109032995	0.0024273655705875424
AG_422_K10	1.1546975454043382	0.5275518310498127	3.1418314119904136	3.826545537586303	1.0424678474904512	0.2535507805394556	0.3980097870435752	2.6081489938334856	10.92278493658433	0.06221124916392439	2.1011715131832918	3.6136927510734966	1.4733048551287111	0.13170752645562234	0.08036148823445968	0.017179078954816445	0.5788909660921517	0.46489155939395876	0.8193084009340331	32.97960264810418	2.1206122477704077	26.988468592741036	41.72290366529885	0.07439228509611434	0.08883794611707746
AG_893_K05	0.5660813478741507	0.2813058073904263	2.323694990820949	3.0495534242853175	0.6237667744579312	0.15226961502884737	0.14435668787118514	5.9044851576172865	18.6968153731602	0.07324648286175552	2.7758320524474844	5.524776628281225	1.2930853753515	0.08705384093396895	0.05354869016965378	0.020679527490143824	0.20606915115838306	0.16178419609153064	0.6582079234009081	39.71207295038672	2.0466950333324094	29.65011330146164	37.49250952879174	0.07872563092524877	0.10014391375449458
AH_321_C14	0.6625646719404235	0.4255288395310963	1.6090421610305783	1.951601500973737	0.5725981577942711	0.13568186842403962	0.20932920151227752	0.34627271908024854	2.0265851175668534	0.009963263354507037	0.6003050237004282	0.9756076240580913	0.6915799970477124	0.05580926238657638	0.039079985930723045	0.003092947332407846	0.2999526167921127	0.25140438591542974	0.6727269943802966	9.502013644651509	1.0806799823389939	6.843627494309041	12.944355977386328	0.006277736368727579	0.0071503573132563865
AS9601	0.4665417827688924	0.18052899038533463	1.7417973280927295	2.2507319766608855	0.4537580236698716	0.09092528346615039	0.12804564368790003	4.126913656615003	15.398475728663078	0.027572072462676216	2.370983818359311	4.17881955074146	0.9864079922931448	0.0552005231233774	0.034651510006051205	0.00030833584928642127	0.2322403661076201	0.18971433978121227	0.4978231016948173	33.46378602593506	1.6324020626276354	23.34622909486484	30.382259550896844	0.0042765194671036426	0.002676195729117435
CCMP1375	0.011752533804244585	0.039069833251787305	0.016845699249296634	0.0128204028019715	0.007678566893767504	0.03172301850294655	0.01653919353167328	0.05114220323637039	0.013451695693811626	0.006747961131118676	0.008360174801956194	0.016473354846530404	0.01288368426828932	0.0031963272278957094	0.002959096001494256	0.0024935006346659136	0.030551269413673043	0.02879003751115621	0.02029313533109332	0.007582740883740566	0.1277991884677491	0.007165604987743412	0.018784692784924974	0.008115620707422036	0.006745768514138336
EQPAC1	461.62467261167774	124.85714068938712	251.94602805884048	205.88268837895626	205.90412411972957	49.77800715439464	134.1713895985895	0.14990073882286278	0.4695278400875981	0.06410237136702883	0.36334111920372714	0.810563456152336	7.588392744827072	13.635121584287772	10.190755344458841	0.030760172861969484	228.29710087561557	203.53316646298393	15.18339713205042	1.7136040682089675	0.5319319366579052	3.5067023504939736	123.76379624962836	0.08491564041921054	0.11620310748455613
GP2	0.5948250891221536	0.266889280000794	1.9183662619313588	2.423855529147632	0.5842844185724675	0.1279297680921743	0.14229645351871809	2.0049929064073484	8.182475569167215	0.019198251428135152	1.4933617772539234	2.577639309804629	0.9368365700581888	0.05460748510516987	0.03394284930450646	0.002596156967925951	0.22583251881608993	0.18646382506878745	0.5090186899747091	24.496522937034012	1.436073758698262	20.08920294816664	28.60935794634681	0.007617027149486768	0.004559622275544535
JFKN01	0.052140399974828146	0.02050851248401733	0.14137952845505405	0.16698500361404195	0.03628458489201423	0.008413218694016148	0.012499587866004436	0.925927769633626	1.759067389663629	0.002754560837697093	0.22577468595237363	0.5786665841246503	0.08011351333971457	0.0036831909782087382	0.0019499051462255393	0.0	0.01848833451562692	0.020284888101440066	0.028419454557338356	2.1252121818469236	0.10331216714938023	1.359226103664439	1.9116868192743184	0.00039051852414352466	1.0874063700049827e-05
