samples	AG_349_G23	AG_404_D14	AG_422_K10	AG_893_K05	AH_321_C14	AS9601	CCMP1375	EQPAC1	GP2	JFKN01	JFKO01	JFKP01	JFKQ01	JFKR01	JFKS01	JFKT01	JFKU01	JFKV01	JFKW01	JFKX01	JFKY01	JFKZ01	JFLA01	JFLB01	JFLC01	JFLD01	JFLE01	JFLF01	JFLG01	JFLH01	JFLI01	JFLJ01	JFLK01	JFLL01	JFLM01	JFLN01	JFLO01	JFLP01	JFLQ01	JFLR01	JFLS01	JFLT01	JFLU01	JFLV01	JFLW01	JFLX01	JFLY01	JFLZ01	JFMA01	JFMB01	JFMC01	JFMD01	JFME01	JFMF01	JFMG01	JFMH01	JFMI01	JFMJ01	JFMK01	JFML01	JFMM01	JFMN01	JFMO01	JFMP01	JFMQ01	JFMR01	JFMS01	JFMT01	JFMU01	JFMV01	JFMW01	JFMX01	JFMY01	JFMZ01	JFNA01	JFNC01	JFND01	JFNE01	JFNF01	JFNG01	JFNH01	JFNI01	JFNJ01	JFNK01	JFNL01	JFNM01	JFNN01	JFNO01	JFNP01	JFNQ01	JFNR01	JFNS01	JFNT01	JFNU01	JFNV01	JFNW01	JFNX01	JFNY01	JFNZ01	JFOA01	JFOB01	JFOC01	JFOD01	JFOE01	LG	MED4	MIT9107	MIT9116	MIT9123	MIT9201	MIT9202	MIT9211	MIT9215	MIT9301	MIT9302	MIT9303	MIT9311	MIT9312	MIT9313	MIT9314	MIT9321	MIT9322	MIT9401	MIT9515	NATL1A	NATL2A	PAC1	SB	SS2	SS35	SS51	__splits_not_binned__
ANE_004_05M	0.040796259738302164	0.12154289144914777	0.1016923257996383	0.04791150105762609	0.06668684329671552	0.04428920139538112	0.00116944546492946	43.29443510232732	0.05374592998211098	0.023496316986487017	0.02964910161816298	0.09306418974732593	0.04639582092499542	0.12559541129825177	0.006283305067647457	0.02092344329662915	0.028592507919939194	0.005148209981383493	0.029035802981692727	0.0184138547405999	0.021294450029969606	0.020271752063360772	0.721953893977439	0.07365834634202231	0.03939604401334994	0.026695029503521105	0.17275361443476195	0.013089384732268446	0.07363581469929414	0.015617602594733104	0.06138321204318354	0.34102125833403363	0.07880587427404605	0.090448094313482	0.06523589807581617	0.03740578167421489	0.0615422166903416	0.03982335443719946	0.01989622346293454	0.05078564884333234	0.019820374755144372	0.10531864566422046	0.21342783599591544	0.12628886450928092	0.03366534996340233	0.18352764815205397	0.030468795136871958	0.07532184697392337	0.07587994198452631	0.15959783071622768	0.09609380387585283	0.10491689859692216	0.02916805530524238	0.11592745959750154	0.08218650268197136	0.06286553481629054	0.04217235583856447	0.03773073083639375	0.02567810963920513	0.06939245909567016	0.05732976294321859	0.14358984844625577	0.042036267656046906	0.07867436103723219	0.06417426466399069	0.0695220928791287	0.02782415009002522	0.027477064695399747	0.013482022861456123	0.041106827369128206	0.016092317312922242	0.028574279692727682	0.05856088850876582	0.06246368092895966	0.06203447327615186	0.03752141889810053	0.19928699208591993	0.11193663649759437	0.023914126051077046	0.0507019682404128	0.37973092101366335	0.015510813924102541	0.051794569285951074	0.03046529140574532	0.6300490927092283	0.06843286276644898	0.09270911316411498	0.02359370492303693	0.0948325672929804	0.18628876519080112	0.03256380079782063	0.04259761367075443	0.04469317906345197	0.24344677652766875	0.0059341109070916815	0.015828793194395747	0.06283643050626289	0.06649232152612433	0.05301734784975932	0.04685306263771858	0.059793124151261104	0.03906749037834257	0.012155036425772753	0.1401170265814903	0.009895718352345375	41.08906609932681	0.0572247990996733	0.05014317847120529	0.06062135879820636	0.08491916559329009	0.04164106759096735	0.005760013444530191	0.06203245334460104	0.08371465239959075	0.27635792972184503	0.034540918808639	0.20615262147831337	0.08880242197310098	0.02647885757013734	0.08867812540333174	0.022934771291502076	0.027614235869300795	0.01993081961106323	1.5878863183734648	1.576138826496135	1.4814481736309997	1.347734959661398	0.09814448226814732	0.0016703370729954708	0.0010667683503553427	0.0012636622196773519	0.0
ANE_004_40M	0.02856451507833715	0.07730451767374606	0.06724075953297096	0.03445777003639304	0.061985259216961436	0.024802861963373495	0.005626490123280715	16.947435433795473	0.03490076704221109	0.013375410934851555	0.022066697925717894	0.25537380698452955	0.017820705449321274	0.06717942082732328	0.006304964666244666	0.009954558696362772	0.015241854935804978	0.004906942006331919	0.01273393011346356	0.00960563439776563	0.00909790650855917	0.010807376069050629	0.2516285124236647	0.031278678294637215	0.023688327189677387	0.01259709976189644	0.08745476146740691	0.011893709136296693	0.032144742468997844	0.010626262673375474	0.01869990240324162	0.25856283416564735	0.04285841783541917	0.0495413875465764	0.030140010136777726	0.018588584998409624	0.03656677877218656	0.015250485080032891	0.010519108534480378	0.020224513366277085	0.008297553792518723	0.06326168869633811	0.10824074664941523	0.12208768300310553	0.015439794746948413	0.07401857708157338	0.015467691023212535	0.034938316117569326	0.02381190249733458	0.06024128323115701	0.04716455070609492	0.039773128152844846	0.014109544012141182	0.06918812619806287	0.0345011977126329	0.0362056164366224	0.020709308265906487	0.01740498763777085	0.012106036881227461	0.035928840592844985	0.020192387988289158	0.06893765794190077	0.019474237868067335	0.03244304502829914	0.03092440671183135	0.03986657514182115	0.013136235789862847	0.012415701498636161	0.003687975663787027	0.022533612794914695	0.008012880925158408	0.012780349742654724	0.031916361114582466	0.030566109973825365	0.03532180706777197	0.0167253807820517	0.0935063941697751	0.0477755152665308	0.008135688072360843	0.02701294078676364	0.1618312029219503	0.009354586300127251	0.031245532913011596	0.014447983206527609	0.2210436798551532	0.036248108440865866	0.029868664606022645	0.01133602609676687	0.054123913632671876	0.06748831341719204	0.021280107259459023	0.02188511599845061	0.01877469148256223	0.15874003894663977	0.003420417744821731	0.007418961802438378	0.02290374770607185	0.03722569805099975	0.024019871338676776	0.03034725421260123	0.03891880316599738	0.014678857625640371	0.004540159047689788	0.05157201608325913	0.02536296950411837	15.987715217909345	0.049591803058332995	0.040078889209577175	0.04292336433062221	0.06199707430239786	0.028055517584411608	0.011128152271188681	0.03584454525161618	0.040576643433076265	0.26217706445622774	0.09340981037056083	0.21168669118957545	0.07393653203660501	0.051046104068248055	0.05573163572865862	0.015865338690795244	0.021231131900942418	0.013457288444427269	0.7987930863515463	21.7217243053902	20.558612678130462	18.502155612101458	0.05597892829913872	0.010512759360872464	0.004843173547717197	0.005536393224939364	0.0
ANE_150_05M	0.21326241128308288	0.6526815132028602	0.37187359165644235	0.26432155294574666	0.2176565954550373	0.2222273196250887	0.002252838353471311	31.75726581297736	0.23295946214366958	0.08562576928797713	0.2504837199356385	0.15584713012486945	0.07823984423767964	0.1568209146633094	0.11540107471649548	0.042219100272679805	0.11404623627672383	0.04448528650121577	0.07619808333308066	0.03880974256467657	0.057359336773984325	0.047656090512657893	0.9574031615040175	0.09680331560048953	0.054014538993648484	0.07839750766862734	0.5788721116463044	0.047487139349211484	0.22410526997864819	0.051683488376617764	0.0770889253781868	1.0496956216280748	0.3326740788702234	0.15690983119674978	0.08329317346065741	0.06650326595792597	0.1279355825725784	0.06579228444076182	0.08682001809216776	0.10957812373968477	0.037927361928083166	0.4239149190200826	0.5430209184402628	0.42809624796018947	0.04117553550955806	0.25035950284886777	0.058562251681025496	0.28087124985508294	0.0797179308535585	0.26087718354024036	0.15188190458830764	0.1162647643620313	0.0895591891787533	0.871635678632749	0.10431792010030723	0.24019880604717284	0.07289773393510607	0.11831156747789742	0.114456011154591	0.5118236352069709	0.09760816230950793	0.44214343848640036	0.10847640438700762	0.1639509886573326	0.12110584519543646	0.23003216141210103	0.07265158100719667	0.05812141402690927	0.029414309199678402	0.08807626674117273	0.0827545879919162	0.06004937070302651	0.15137004079825198	0.14684672429888504	0.12577847078667898	0.04969619904936646	0.43589005623613397	0.16558832542526597	0.047748714813459756	0.2159188292380647	0.690671209851979	0.10050523048431943	0.21164942637983294	0.07728908066771585	0.27676416035641954	0.20298688579056304	0.1888933282623894	0.04867333567522113	0.44435336950461246	0.47145332877954266	0.05702925576710668	0.09017448350016892	0.12490949319201913	1.0211203156594746	0.03471585308084095	0.06254714341523682	0.0698401396885225	0.17097292107338602	0.09359667430979025	0.08430206356261986	0.1755507121263021	0.06556901563570659	0.029836174148777803	0.09949340881375301	0.01707957625528615	29.889307686883086	0.19302244976827249	0.13723154219957162	0.16170392393894095	0.3058118517636385	0.16318029669777942	0.008732801112061912	0.17850960880165048	0.2701912732636421	1.008107249044473	0.0596202165977043	0.619988195907619	0.3033124368404363	0.04299903958278286	0.3656937703380126	0.10502508295679891	0.1308302138652213	0.08961639772622745	1.8661123788241523	4.169530166427276	3.9673057822718336	3.529823160976032	0.3861434882804042	0.0024684552763905437	0.0017842844267785484	0.002128591865007142	0.0
ANE_150_40M	0.29959842623431954	0.9331050723754215	0.49394889151099	0.3783139621447301	0.2879109745653927	0.3131744168868055	0.0018698437929634117	28.30206258037399	0.3210097519041021	0.11029557677670422	0.36452621467772994	0.18379820164241	0.0826812880194011	0.17250411721673192	0.16628706154318862	0.056468243478166966	0.15192521234574338	0.05327183528101204	0.09508955246024492	0.046506416541284755	0.06406126439706533	0.05197539332366358	1.036456503129672	0.11324211202448262	0.056872560950050347	0.12477429173410903	0.8167408121678602	0.05354697777688798	0.3064758098810638	0.06316937756076378	0.0849709338547062	1.4609545336115959	0.43142604251054634	0.18383107293411663	0.08974796398806391	0.07778632160583833	0.1395094925914211	0.07458677136932154	0.10622508081144305	0.11444679461200125	0.045967319499289595	0.5196362963495758	0.6820924381100235	0.9732980949235567	0.04243499127845362	0.2629813468614594	0.061107628974935484	0.39692436478250914	0.08848285723215438	0.3514570221476078	0.17172538178209265	0.12733279149631466	0.1203649704324608	1.1263074687878867	0.11161669229798765	0.32598956783391114	0.08625675980562009	0.1569507284293872	0.1555045463998693	0.7079035395320366	0.11686936748883173	0.5162223829843247	0.1347039911062657	0.18393904196162933	0.13391188735471213	0.31113548655545137	0.08546513020596401	0.0715427227471484	0.03997687967597679	0.11447455752083142	0.11443354816658664	0.06236305894503378	0.1695485741740479	0.1770435435551799	0.15185389728055673	0.052601397919575056	0.530480946243469	0.23585619436496724	0.057219735610683164	0.27179544738401856	0.7819902235734948	0.1294092615499167	0.270611395200186	0.08629585847654896	0.3074251624012438	0.24927429902788692	0.22718221213520262	0.06422653152839833	0.5916154902589132	0.5841101172325925	0.06895543874973471	0.10031563877064481	0.16489672286843	1.3127655655701786	0.04388881973940693	0.07433997547047463	0.07189408570684779	0.19443329898161593	0.11725375690649656	0.12339463596133003	0.2123764217079669	0.09479760324886231	0.034002920680892015	0.1472432220904535	0.014712532633689367	26.633341045593866	0.25100617712706313	0.18405368086850196	0.21374568090149132	0.40288455232727605	0.2093824568725392	0.008328959720011141	0.22496022819347491	0.3699716573317175	1.3887265680095071	0.04827382646987585	0.8860181566882072	0.4150654397101321	0.0391070603138218	0.4970338707997382	0.14155079673223608	0.1776648256978466	0.112507653333141	1.6646492129089434	4.014279951086948	3.8076172737408105	3.391629772478369	0.5345592329978475	0.002033298002250436	0.0014488218486909154	0.0018282609648152522	0.0
ANE_151_05M	0.09168393466177857	0.2855373139188282	0.19512375770308898	0.11220461359796978	0.12248682445125393	0.09155017247539049	0.001623888407614829	41.04267461407126	0.11220395181903416	0.03475162663589922	0.08212823619001447	0.0831087642699992	0.04334133154926374	0.13219682509466926	0.038208355176860824	0.023907277590399702	0.048303285657404965	0.014375323091754546	0.0416736973975108	0.021360534951857267	0.025772391251428807	0.024041779126993488	0.7813957726147437	0.06573248204067675	0.043764300679864275	0.040683488649751555	0.2919219196341088	0.023227158071837936	0.10497603567891507	0.022399107566223344	0.059608143004518305	0.5040344833913915	0.14799643971341678	0.10736068327911742	0.06404006330983754	0.06069040344772936	0.08338833156131155	0.052853458964160896	0.036897292401522896	0.06414883954623089	0.025810252932419783	0.20489054922430994	0.2792516712560018	0.9480019629870594	0.028114766659392318	0.19625535767016639	0.0429402956478505	0.11839409637185276	0.045512620327999916	0.13572989282426406	0.10664911201283733	0.09300146564957801	0.04289147792987154	0.2967991110734969	0.06725747059241279	0.20398625749569732	0.054231803528055296	0.06116839509590324	0.04997693623511828	0.18151691259218813	0.06439471241591266	0.1967063330871384	0.052116940236230175	0.09994908825043794	0.07755643414496897	0.12212338547307895	0.04405967482491108	0.02821146658718811	0.010887855007520401	0.05377617200291159	0.03023503007040771	0.030086003867465422	0.0833200261132706	0.09808986262209536	0.09182627530970103	0.02543103746049794	0.2530570112492308	0.08595315360870609	0.02788198796733481	0.09637884471719094	0.4839061405897821	0.03301088789750465	0.08919036510747647	0.03842975524053609	0.5750484562099364	0.1104278143157065	0.0932960841081024	0.03516507532626345	0.18079905359269752	0.21426825239316924	0.04456054411788284	0.0603671612480259	0.07183590240687812	0.5332396010894048	0.014057218932785298	0.02753914092819657	0.045542652473964475	0.0982271774514244	0.05705781813205122	0.05434987447372705	0.09960034431207626	0.04440579186622452	0.017094734747772393	0.09170471255598708	0.01858765464137092	38.7355408457544	0.10291433625482589	0.08687186332421559	0.09527024879697471	0.1592767730307716	0.0825664776451471	0.006384321131685944	0.10249830146534235	0.13344337763477462	0.38701191358482573	0.04491719555184607	0.3519993894313628	0.13854674472718673	0.037260088938521084	0.171635121994272	0.04736701520564464	0.05961248983380432	0.04197326435792235	1.9930214211312467	1.4055748429516033	1.3177381033186328	1.2019859379260323	0.18331724739594982	0.0013219105390711626	0.0010724043154328757	0.0013675438312702908	0.0
ANE_151_80M	0.07586235615114445	0.18941876890026685	0.1586408893124136	0.09155971417479866	0.09702059783308101	0.061322833647801694	0.02242607219488283	33.1673533021344	0.08212174378634217	0.02693505450794161	0.049802904725265364	0.1431409270787279	0.02886376683295622	0.12328309691751728	0.022564568580934474	0.018415454271266177	0.03329012235982888	0.009211938329985146	0.020746989379984995	0.02176249266376863	0.018791043770182668	0.019681175863225583	0.5890337071763533	0.054660607037978544	0.04011555603123883	0.021041687550425774	0.19972397198688255	0.017512449008316226	0.07590586588293259	0.013786012473279787	0.037807796645370165	0.4433505509216699	0.10712530044565342	0.08713297354498524	0.06300931123966591	0.0379963928460964	0.05535464791407908	0.03742970111472165	0.019613246050581273	0.059279526061444876	0.014287726251312064	0.15558250402336155	0.22433227305535794	0.3455118361477407	0.020511254479283186	0.16973968894838481	0.029378924281401687	0.16049866943090077	0.030216828683348247	0.19589017955777704	0.08918025445208247	0.07855874541841386	0.02406173316479759	0.1902854433525453	0.0564454038821143	0.1431026795513768	0.03637154309778405	0.04305644623152015	0.027943267117807303	0.11099960255702292	0.03682938730726601	0.15320927686279756	0.03732304833173603	0.08185622913234633	0.07197598997572303	0.08931124965811214	0.02481941374315986	0.02487048399379245	0.01126805689800274	0.04696133582508417	0.01184414154341496	0.018386400103592146	0.05327125094713214	0.06287571579349299	0.06691164694873808	0.025765112186675963	0.17998030167831733	0.09543980507617841	0.017597245221538677	0.06638089831728503	0.33663110041807975	0.02291716587518726	0.051359575178759526	0.022105627444038458	0.6066848962836618	0.07162468798529151	0.07342677915871591	0.01990773244588325	0.11685384840948987	0.1626112314808711	0.043759930080998904	0.03398727746170673	0.050433870861142295	0.3435628888821411	0.007534126951122156	0.021559609696807723	0.03595600898923542	0.07027183222609376	0.034900159751384996	0.058685274216275146	0.0632286345603091	0.028544338788843174	0.010348257868084429	0.27379405037396426	0.08234894914130479	31.13571962061305	0.09389890326853842	0.08765548553990597	0.0740550282531295	0.13237827053280762	0.06045984256917206	0.048554323599385135	0.07891455096935775	0.0978705297605332	0.3028863448812001	1.362518247840936	0.2842980271959208	0.1056012134115397	0.49373213689947626	0.13381952019153817	0.03649460970824846	0.04759503673988615	0.030153022781147034	1.8217211883049433	7.508855168017346	7.066909464659779	6.388566796130683	0.1396090759820238	0.02230271946387808	0.01660573487885266	0.020860172700528368	0.0
ANE_152_05M	0.032122854707962466	0.06682896169272459	0.10483363814488154	0.0365413686635951	0.06301278433377538	0.036354575776536786	0.004922092406889335	37.634829362496156	0.03845363048145005	0.01684643834035449	0.012459774795176844	0.09498881918397332	0.030256411383064997	0.09062277476872384	0.004546534307030189	0.015192229080658332	0.013973309858766148	0.0034679519467805406	0.01632398955227707	0.009205857287388534	0.014536212230728393	0.019740428959245375	0.5602098456831504	0.04996501701021274	0.03945827775450741	0.015448311490781842	0.09359752749816376	0.011525661994675241	0.06739834153761663	0.009911677198226077	0.03294238207166356	0.20177184679263832	0.05829391944575536	0.0592650857560521	0.05178278217642873	0.05067820561639416	0.06806547007545836	0.027685860280258885	0.0144982193059653	0.040341536665537865	0.01592492149724477	0.07603195786674702	0.14712064571056152	0.20093990063946468	0.024716850752856852	0.12181762215386242	0.0312225575705351	0.06902199345928958	0.03555137833859878	0.08378280466789523	0.08491931107239474	0.09179510404072493	0.013936419943476427	0.04093903670619199	0.05220276248420158	0.06204276605485288	0.024407914032498326	0.042238501319044774	0.0120309733236646	0.049802094679460784	0.02228260913822778	0.10535284046398562	0.030116956061571873	0.04664113081013174	0.05208026135868268	0.06585007923729397	0.02738897889972998	0.024719000183954117	0.010440821270802774	0.032386160051848224	0.013323814923985964	0.021674552457225615	0.05125612853337714	0.04259585772154172	0.04852340638487851	0.022185080435445245	0.1379598602477624	0.051702260661151474	0.01155629707147398	0.02898646361233324	0.3298388137515055	0.008620634720349135	0.040224718626827395	0.02378717743359038	0.13115420194861596	0.05800647118075899	0.0473452216721202	0.015938019529690702	0.0732052497806291	0.08388700196942422	0.03978364613515796	0.045337635946016024	0.039157005876028994	0.18869084158534072	0.003150346084903797	0.006992708219234611	0.04255149288223122	0.09289464373253824	0.03665026222922249	0.031609802650295775	0.0455742767625225	0.028354033070982908	0.006036807141074338	0.20343337313411877	0.03666356459669344	35.393106976050085	0.054250661215153706	0.05618802105628915	0.057723054333967724	0.08038949361291463	0.046112618895501896	0.02633754858025651	0.07158864978477304	0.05718115384113496	0.15062413172851677	0.15822883043770758	0.13729975676180028	0.051439442985659556	0.11505756259298763	0.0657965645959008	0.02074681207768626	0.023496323499434937	0.0154240850389731	2.3073579236348145	6.038519028794787	5.726339889015557	5.658513472803659	0.0760056227035852	0.004549539823272776	0.0035416383903490753	0.004925202494533159	0.0
ANW_141_05M	0.5808380706031281	1.1400392967656272	0.47221777561064315	1.027384391700109	0.07165065385246863	0.8054205079239164	0.010462076587005925	0.028902594798711462	0.37244242034937464	0.8578128341922566	0.9551355466549586	0.8879769924662632	0.7088718191488105	1.075856584973932	0.6379969085119316	0.4533567227994856	0.6176503573141175	0.2511148399422922	0.9426279755720118	0.41595674926130116	0.64074211620567	0.4363659120021393	2.184262831972753	0.7465322634433486	0.5881357217952394	0.5683756092373654	6.89348700575405	0.5631996104523718	0.9936084132002057	0.4897364127166411	0.7077949071558955	0.31706297954800383	1.4317208293398775	0.7412279730520901	0.8578223529770488	0.6083908991815726	0.602666320448622	0.646581702664906	0.6036692261392069	0.6958533569339859	0.45847602259867065	1.3575155492687316	1.5680575902176228	0.5517375588111272	0.46230434137224624	0.6914037193071187	0.5272294131462094	1.3066276470974012	0.9103923915617255	1.0865383664656516	0.6898340018769543	0.805251780911248	0.6415071376261987	2.774923086321347	0.8994058877929463	2.69284949569277	0.38473706790306694	0.7552949058310795	0.5229405091909176	2.6172199918429566	0.5000466106525406	1.4894822307976	0.6485761679122838	0.9610639917641584	0.7491477741120081	0.9262451447707764	0.574560022380219	0.71599711063501	0.4410936634823544	0.5555664275902731	0.6114572820801334	0.4878655807887965	0.7541348371531255	0.5561103521741901	0.5615822964942847	0.6478199820200431	1.3278046183983583	1.1796172195178518	0.7488503687801122	0.9342958482561474	1.3806261929752244	0.49926602880096377	1.2025156280453884	0.9656178732806748	1.4892637386181458	1.1534114970775404	1.0039221304865493	0.47844629041715175	1.6851797300025615	1.9007900409912521	0.5641289653338449	0.7202867900968198	0.6684158804609227	1.5622489935340766	0.16148044139782847	0.7309666637645466	0.5754194457868248	0.8320783880153204	0.9213499721079095	1.2999263885270405	0.9524424486384162	0.6631874770693561	0.41636629169488837	0.9030647757592488	0.06386183727981487	0.009733802110208774	0.08688166921085705	0.05785548405040934	0.06901973593267306	0.33642281416058434	0.25118328869850676	0.0870979259924306	0.2434407799681387	0.8544137314027223	0.2749394586603952	0.5456798150940672	0.275879040713677	0.11277020517855983	0.43084027752872933	1.041075965620809	0.1868472333096831	0.21009499065641118	0.17012691235125602	0.006475406530687233	0.01973759812596863	0.013595228780823511	0.016681651757280105	1.1655596704109061	0.010606331467886023	0.01029388680023746	0.01196762747775156	0.0
ANW_142_05M	0.7445190159154458	1.4956120765724228	0.6783774255735876	1.1159548879325258	0.14384500998783972	1.0308681096226366	0.0009439382096354137	0.03105435263222023	0.521385666951601	0.5590182404548286	1.2473412393213263	0.5946205343851754	0.4523168561370851	0.6473527456933076	1.0250682025175615	0.3320709626737449	0.677720617744171	0.3316644687408849	0.6562827427098712	0.2861389211069948	0.3877271733265229	0.3176368933027275	2.8413936595605738	0.5349981409210989	0.40526929724375454	0.626997623729755	4.158297564149871	0.40146118129421676	1.6031129120193832	0.3587047672196125	0.47125207545733083	0.6677213009167283	2.0213016015241396	0.871220915298337	0.466655613147836	0.4094186148775137	0.6162905310617858	0.4317596204914767	0.6763618782339553	0.5429065677547278	0.2709972762667911	1.9134131413487334	2.0749951967159985	0.3301936788158271	0.3175755559511762	0.8137838452130245	0.37823657422136886	1.9998599469802176	0.5746974424680075	1.4686885854975416	0.7711174121152419	0.6530842250140096	0.6982602384814466	3.72184461836547	0.6851394839315718	1.529503080063083	0.2932958336409093	0.8500394085199658	0.7934478456615752	3.2294765156658802	0.5559289002812259	2.3031510602409235	0.677975152676268	1.0825417652311085	0.6565513150794671	1.44621496221096	0.4046771001410426	0.5153065561369529	0.25282446140152665	0.6106743756835213	0.6720092953247717	0.34906178932305626	0.5813051978492187	0.6990344701390827	0.6258295685273956	0.45003696440034585	2.1201557341517594	1.2887107938725078	0.40218692389935584	1.2012052609695705	1.9161064373582866	0.7810347846764633	1.1393872336735569	0.5973855735924896	0.6323345861856651	1.390185287494753	1.1578518533488489	0.3226506675722957	2.3415650793615344	1.8923637078668765	0.42290274124507027	0.5082168778454617	0.7292389884149045	1.3110311280831504	0.1858848462424363	0.48769160344145274	0.4044200681756445	1.0007394646919425	0.7234219478753585	0.4996997674040839	0.7991311688173731	0.5039513637877087	0.28047480421859605	0.5581119113766894	0.00868344449539183	0.01940361680668851	0.1337773871406108	0.0847262671219913	0.11682657844198009	0.4908857638172471	0.3512874922784645	0.006251249036092099	0.3512019412605336	1.2068266029264834	0.5110692548744966	0.046073399630674076	0.45962673409227306	0.1982633927687246	0.03960898507718949	1.4286864332136389	0.2623732802340096	0.2930791076472999	0.23557020097893708	0.01319647887536979	0.017197897777267112	0.015261117257659884	0.018205388412792817	1.4576526087694694	0.0009529814059076702	0.0008853887309425869	0.0009696152854489129	0.0
ANW_145_05M	0.6714153328024092	0.568476138553299	0.80011607268577	0.9053402794642035	0.14644603904970674	0.38224415321037597	0.09805848352045396	0.8779732738280714	0.2533273697641813	0.1812766797767229	0.37299214930168834	0.3156124436014576	0.2710407676749325	0.41304514894956	0.3102157242057294	0.23963781021086078	0.2672517760175303	0.048684576592617906	0.1954283509569463	0.055706550090683975	0.10192847673814853	0.09392500122045634	0.8568783801891732	0.24803555020058582	0.3040325437678376	0.13279465518465935	1.8405038564319267	0.3588863224328182	1.673176513721143	0.0775136756106128	0.13209979331276184	0.34641209083624	0.7469335537547203	0.30156305497226055	0.2901840370270404	0.10304862551963968	0.34883336761345446	0.1495686350488329	0.24015562004956878	0.18148376174842304	0.060435453513121025	0.6465457740970829	0.6702795334734054	0.6741693956122199	0.08994656547386809	0.30516586062907086	0.08294676464345344	3.1769290103648284	0.2413134780464281	13.304994368613546	0.21280945399163595	0.20019306732348666	0.08530859804364395	1.2091115929742362	0.2384655622995511	2.432783623064492	0.06380488518290808	0.23223057823922635	0.26142121967221676	1.2059088419552781	0.15193495092823447	0.578567678637377	0.31158592075478414	0.4835338375928041	0.25306806303300006	0.4377256540491252	0.18540616986025302	0.13130501002330539	0.07956097266092906	0.16263550467515842	0.2107232351414969	0.12031789914368542	0.27678423959128035	0.20473725355620578	0.11814452721260901	0.0908686166238914	0.45810780773519194	8.633638494031418	0.10687115318706641	0.3301819207665357	0.5321037948974865	0.16511887237286837	0.39200145141171244	0.2815279595181622	0.38048597635313386	0.3843674731995244	0.46696840830799363	0.14432852659451767	0.7238298299704854	0.5109469115386513	0.17502553602928086	0.16377760842858133	0.20623383399879677	0.5269643224307123	0.038075439659656075	0.10184436975398356	0.18050568688098967	0.28975986856449104	0.36205602818298627	2.1092464406261127	0.35216037816834717	0.19392286413819537	0.045263815851459915	14.326279101388064	1.7807770340282103	0.1686971463839132	0.5222522090691474	0.4752757662413194	0.06860272795995645	0.7760734896701144	0.1424323673387363	0.7091459490785368	0.14521922743030613	0.47339626957679176	0.2765545925322208	5.200218432476106	0.8613475063647819	0.10640709937111563	4.190068010087425	0.9552157731128069	0.1018177320813253	0.23424189946920745	0.10615993231526172	0.031156262156430373	1.0702000938971852	0.8592228767793473	1.728444373917493	1.001411060493373	0.12748209484521453	0.1111111933550119	0.10156520964687668	0.0
