gene_callers_id	detection
264681	DETECTED
264682	DETECTED
264683	DETECTED
264684	DETECTED
264685	DETECTED
264686	DETECTED
264687	DETECTED
264688	DETECTED
264689	DETECTED
264690	DETECTED
264691	DETECTED
264692	DETECTED
264693	DETECTED
264694	DETECTED
264695	NOT DETECTED
264696	DETECTED
264697	NOT DETECTED
264698	DETECTED
264699	NOT DETECTED
264700	NOT DETECTED
264701	DETECTED
264702	DETECTED
264703	DETECTED
264704	DETECTED
264705	DETECTED
264706	DETECTED
264707	DETECTED
264708	DETECTED
264709	DETECTED
264710	DETECTED
264711	DETECTED
264712	DETECTED
264713	DETECTED
264714	DETECTED
264715	DETECTED
264716	DETECTED
264717	DETECTED
264718	DETECTED
264719	DETECTED
264720	DETECTED
264721	DETECTED
264722	DETECTED
264723	DETECTED
264724	DETECTED
264725	DETECTED
264726	DETECTED
264727	DETECTED
264728	DETECTED
264729	DETECTED
264730	DETECTED
264731	DETECTED
264732	DETECTED
264733	DETECTED
264734	DETECTED
264735	DETECTED
264736	DETECTED
264737	DETECTED
264738	DETECTED
264739	DETECTED
264740	DETECTED
264741	DETECTED
264742	DETECTED
264743	DETECTED
264744	DETECTED
264745	DETECTED
264746	DETECTED
264747	DETECTED
264748	DETECTED
264749	DETECTED
264750	DETECTED
264751	DETECTED
264752	DETECTED
264753	DETECTED
264754	DETECTED
264755	DETECTED
264756	DETECTED
264757	NOT DETECTED
264758	DETECTED
264759	DETECTED
264760	DETECTED
264761	DETECTED
264762	DETECTED
264763	DETECTED
264764	NOT DETECTED
264765	DETECTED
264766	DETECTED
264767	DETECTED
264768	DETECTED
264769	DETECTED
264770	DETECTED
264771	DETECTED
264772	DETECTED
264773	DETECTED
264774	NOT DETECTED
264775	DETECTED
264776	DETECTED
264777	DETECTED
264778	DETECTED
264779	DETECTED
264780	DETECTED
264781	DETECTED
264782	DETECTED
264783	DETECTED
264784	DETECTED
264785	DETECTED
264786	DETECTED
264787	DETECTED
264788	DETECTED
264789	DETECTED
264790	DETECTED
264791	DETECTED
264792	DETECTED
264793	DETECTED
264794	DETECTED
264795	DETECTED
264796	DETECTED
264797	DETECTED
264798	DETECTED
264799	DETECTED
264800	DETECTED
264801	DETECTED
264802	DETECTED
264803	DETECTED
264804	DETECTED
264805	DETECTED
264806	DETECTED
264807	DETECTED
264808	DETECTED
264809	DETECTED
264810	DETECTED
264811	DETECTED
264812	DETECTED
264813	DETECTED
264814	DETECTED
264815	DETECTED
264816	DETECTED
264817	DETECTED
264818	DETECTED
264819	DETECTED
264820	DETECTED
264821	DETECTED
264822	DETECTED
264823	DETECTED
264824	DETECTED
264825	DETECTED
264826	NOT DETECTED
264827	DETECTED
264828	DETECTED
264829	DETECTED
264830	DETECTED
264831	DETECTED
264832	DETECTED
264833	DETECTED
264834	DETECTED
264835	DETECTED
264836	DETECTED
264837	DETECTED
264838	DETECTED
264839	DETECTED
264840	DETECTED
264841	DETECTED
264842	DETECTED
264843	DETECTED
264844	DETECTED
264845	DETECTED
264846	DETECTED
264847	DETECTED
264848	DETECTED
264849	DETECTED
264850	DETECTED
264851	DETECTED
264852	DETECTED
264853	DETECTED
264854	DETECTED
264855	DETECTED
264856	DETECTED
264857	DETECTED
264858	DETECTED
264859	NOT DETECTED
264860	NOT DETECTED
264861	NOT DETECTED
264862	DETECTED
264863	DETECTED
264864	DETECTED
264865	DETECTED
264866	DETECTED
264867	DETECTED
264868	NOT DETECTED
264869	NOT DETECTED
264870	DETECTED
264871	DETECTED
264872	DETECTED
264873	NOT DETECTED
264874	DETECTED
264875	DETECTED
264876	DETECTED
264877	DETECTED
264878	DETECTED
264879	DETECTED
264880	NOT DETECTED
264881	DETECTED
264882	DETECTED
264883	DETECTED
264884	DETECTED
264885	DETECTED
264886	DETECTED
264887	DETECTED
264888	NOT DETECTED
264889	NOT DETECTED
264890	DETECTED
264891	NOT DETECTED
264892	DETECTED
264893	DETECTED
264894	DETECTED
264895	NOT DETECTED
264896	DETECTED
264897	NOT DETECTED
264898	NOT DETECTED
264899	NOT DETECTED
264900	DETECTED
264901	DETECTED
264902	DETECTED
264903	DETECTED
264904	DETECTED
264905	DETECTED
264906	DETECTED
264907	DETECTED
264908	DETECTED
264909	DETECTED
264910	DETECTED
264911	DETECTED
264912	DETECTED
264913	DETECTED
264914	DETECTED
264915	NOT DETECTED
264916	DETECTED
264917	DETECTED
264918	DETECTED
264919	DETECTED
264920	DETECTED
264921	DETECTED
264922	DETECTED
264923	DETECTED
264924	DETECTED
264925	DETECTED
264926	DETECTED
264927	DETECTED
264928	DETECTED
264929	DETECTED
264930	DETECTED
264931	DETECTED
264932	DETECTED
264933	DETECTED
264934	DETECTED
264935	DETECTED
264936	DETECTED
264937	DETECTED
264938	DETECTED
264939	DETECTED
264940	DETECTED
264941	DETECTED
264942	DETECTED
264943	DETECTED
264944	DETECTED
264945	DETECTED
264946	DETECTED
264947	DETECTED
264948	DETECTED
264949	DETECTED
264950	DETECTED
264951	DETECTED
264952	DETECTED
264953	DETECTED
264954	DETECTED
264955	DETECTED
264956	DETECTED
264957	DETECTED
264958	DETECTED
264959	DETECTED
264960	DETECTED
264961	DETECTED
264962	DETECTED
264963	DETECTED
264964	DETECTED
264965	DETECTED
264966	DETECTED
264967	DETECTED
264968	DETECTED
264969	DETECTED
264970	DETECTED
264971	DETECTED
264972	DETECTED
264973	DETECTED
264974	DETECTED
264975	DETECTED
264976	DETECTED
264977	DETECTED
264978	DETECTED
264979	DETECTED
264980	DETECTED
264981	DETECTED
264982	DETECTED
264983	DETECTED
264984	DETECTED
264985	DETECTED
264986	DETECTED
264987	DETECTED
264988	DETECTED
264989	DETECTED
264990	DETECTED
264991	DETECTED
264992	DETECTED
264993	DETECTED
264994	DETECTED
264995	DETECTED
264996	DETECTED
264997	DETECTED
264998	DETECTED
264999	DETECTED
265000	DETECTED
265001	DETECTED
265002	DETECTED
265003	DETECTED
265004	DETECTED
265005	DETECTED
265006	DETECTED
265007	DETECTED
265008	DETECTED
265009	DETECTED
265010	DETECTED
265011	DETECTED
265012	DETECTED
265013	NOT DETECTED
265014	NOT DETECTED
265015	NOT DETECTED
265016	NOT DETECTED
265017	DETECTED
265018	DETECTED
265019	DETECTED
265020	DETECTED
265021	DETECTED
265022	DETECTED
265023	DETECTED
265024	DETECTED
265025	DETECTED
265026	DETECTED
265027	DETECTED
265028	DETECTED
265029	DETECTED
265030	DETECTED
265031	DETECTED
265032	DETECTED
265033	DETECTED
265034	DETECTED
265035	NOT DETECTED
265036	NOT DETECTED
265037	NOT DETECTED
265038	NOT DETECTED
265039	NOT DETECTED
265040	NOT DETECTED
265041	NOT DETECTED
265042	NOT DETECTED
265043	NOT DETECTED
265044	NOT DETECTED
265045	NOT DETECTED
265046	NOT DETECTED
265047	NOT DETECTED
265048	NOT DETECTED
265049	NOT DETECTED
265050	NOT DETECTED
265051	NOT DETECTED
265052	NOT DETECTED
265053	NOT DETECTED
265054	NOT DETECTED
265055	NOT DETECTED
265056	NOT DETECTED
265057	NOT DETECTED
265058	NOT DETECTED
265059	NOT DETECTED
265060	NOT DETECTED
265061	NOT DETECTED
265062	NOT DETECTED
265063	NOT DETECTED
265064	NOT DETECTED
265065	NOT DETECTED
265066	NOT DETECTED
265067	NOT DETECTED
265068	NOT DETECTED
265069	NOT DETECTED
265070	NOT DETECTED
